INSEE_COM;NOM_COM_M;INSEE_DEP;NOM_DEP;CODE_EPCI;NOM_EPCI
01001;L'ABERGEMENT-CLEMENCIAT;01;AIN;200069193;CC de la Dombes
01002;L'ABERGEMENT-DE-VAREY;01;AIN;240100883;CC de la Plaine de l'Ain
01004;AMBERIEU-EN-BUGEY;01;AIN;240100883;CC de la Plaine de l'Ain
01005;AMBERIEUX-EN-DOMBES;01;AIN;200042497;CC Dombes Saône Vallée
01006;AMBLEON;01;AIN;200040350;CC Bugey Sud
01007;AMBRONAY;01;AIN;240100883;CC de la Plaine de l'Ain
01008;AMBUTRIX;01;AIN;240100883;CC de la Plaine de l'Ain
01009;ANDERT-ET-CONDON;01;AIN;200040350;CC Bugey Sud
01010;ANGLEFORT;01;AIN;200070852;CC Usses et Rhône
01011;APREMONT;01;AIN;200042935;CA Haut - Bugey Agglomération
01012;ARANC;01;AIN;240100578;CC du Plateau d'Hauteville
01013;ARANDAS;01;AIN;240100883;CC de la Plaine de l'Ain
01014;ARBENT;01;AIN;200042935;CA Haut - Bugey Agglomération
01015;ARBOYS EN BUGEY;01;AIN;200040350;CC Bugey Sud
01016;ARBIGNY;01;AIN;200071371;CC Bresse et Saône
01017;ARGIS;01;AIN;240100883;CC de la Plaine de l'Ain
01019;ARMIX;01;AIN;200040350;CC Bugey Sud
01021;ARS-SUR-FORMANS;01;AIN;200042497;CC Dombes Saône Vallée
01022;ARTEMARE;01;AIN;200040350;CC Bugey Sud
01023;ASNIERES-SUR-SAONE;01;AIN;200071371;CC Bresse et Saône
01024;ATTIGNAT;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01025;BAGE-DOMMARTIN;01;AIN;200071371;CC Bresse et Saône
01026;BAGE-LE-CHATEL;01;AIN;200071371;CC Bresse et Saône
01027;BALAN;01;AIN;240100610;CC de la Côtière à Montluel
01028;BANEINS;01;AIN;200069193;CC de la Dombes
01029;BEAUPONT;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01030;BEAUREGARD;01;AIN;200042497;CC Dombes Saône Vallée
01031;BELLIGNAT;01;AIN;200042935;CA Haut - Bugey Agglomération
01032;BELIGNEUX;01;AIN;240100610;CC de la Côtière à Montluel
01033;BELLEGARDE-SUR-VALSERINE;01;AIN;240100891;CC du Pays Bellegardien (Ccpb)
01034;BELLEY;01;AIN;200040350;CC Bugey Sud
01035;BELLEYDOUX;01;AIN;200042935;CA Haut - Bugey Agglomération
01036;BELMONT-LUTHEZIEU;01;AIN;200040350;CC Bugey Sud
01037;BENONCES;01;AIN;240100883;CC de la Plaine de l'Ain
01038;BENY;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01039;BEON;01;AIN;200040350;CC Bugey Sud
01040;BEREZIAT;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01041;BETTANT;01;AIN;240100883;CC de la Plaine de l'Ain
01042;BEY;01;AIN;200070555;CC de la Veyle
01043;BEYNOST;01;AIN;240100800;CC de Miribel et du Plateau
01044;BILLIAT;01;AIN;240100891;CC du Pays Bellegardien (Ccpb)
01045;BIRIEUX;01;AIN;200069193;CC de la Dombes
01046;BIZIAT;01;AIN;200070555;CC de la Veyle
01047;BLYES;01;AIN;240100883;CC de la Plaine de l'Ain
01049;LA BOISSE;01;AIN;240100610;CC de la Côtière à Montluel
01050;BOISSEY;01;AIN;200071371;CC Bresse et Saône
01051;BOLOZON;01;AIN;200042935;CA Haut - Bugey Agglomération
01052;BOULIGNEUX;01;AIN;200069193;CC de la Dombes
01053;BOURG-EN-BRESSE;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01054;BOURG-SAINT-CHRISTOPHE;01;AIN;240100883;CC de la Plaine de l'Ain
01056;BOYEUX-SAINT-JEROME;01;AIN;200029999;CC Rives de l'Ain - Pays du Cerdon
01057;BOZ;01;AIN;200071371;CC Bresse et Saône
01058;BREGNIER-CORDON;01;AIN;200040350;CC Bugey Sud
01059;BRENAZ;01;AIN;200040350;CC Bugey Sud
01060;BRENOD;01;AIN;200042935;CA Haut - Bugey Agglomération
01061;BRENS;01;AIN;200040350;CC Bugey Sud
01062;BRESSOLLES;01;AIN;240100610;CC de la Côtière à Montluel
01063;BRION;01;AIN;200042935;CA Haut - Bugey Agglomération
01064;BRIORD;01;AIN;240100883;CC de la Plaine de l'Ain
01065;BUELLAS;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01066;LA BURBANCHE;01;AIN;200040350;CC Bugey Sud
01067;CEIGNES;01;AIN;200042935;CA Haut - Bugey Agglomération
01068;CERDON;01;AIN;200029999;CC Rives de l'Ain - Pays du Cerdon
01069;CERTINES;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01071;CESSY;01;AIN;240100750;CC du Pays de Gex
01072;CEYZERIAT;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01073;CEYZERIEU;01;AIN;200040350;CC Bugey Sud
01074;CHALAMONT;01;AIN;200069193;CC de la Dombes
01075;CHALEINS;01;AIN;200070118;CC Val de Saône Centre
01076;CHALEY;01;AIN;240100883;CC de la Plaine de l'Ain
01077;CHALLES-LA-MONTAGNE;01;AIN;200029999;CC Rives de l'Ain - Pays du Cerdon
01078;CHALLEX;01;AIN;240100750;CC du Pays de Gex
01079;CHAMPAGNE-EN-VALROMEY;01;AIN;200040350;CC Bugey Sud
01080;CHAMPDOR-CORCELLES;01;AIN;240100578;CC du Plateau d'Hauteville
01081;CHAMPFROMIER;01;AIN;240100891;CC du Pays Bellegardien (Ccpb)
01082;CHANAY;01;AIN;240100891;CC du Pays Bellegardien (Ccpb)
01083;CHANEINS;01;AIN;200069193;CC de la Dombes
01084;CHANOZ-CHATENAY;01;AIN;200070555;CC de la Veyle
01085;LA CHAPELLE-DU-CHATELARD;01;AIN;200069193;CC de la Dombes
01087;CHARIX;01;AIN;200042935;CA Haut - Bugey Agglomération
01088;CHARNOZ-SUR-AIN;01;AIN;240100883;CC de la Plaine de l'Ain
01089;CHATEAU-GAILLARD;01;AIN;240100883;CC de la Plaine de l'Ain
01090;CHATENAY;01;AIN;200069193;CC de la Dombes
01091;CHATILLON-EN-MICHAILLE;01;AIN;240100891;CC du Pays Bellegardien (Ccpb)
01092;CHATILLON-LA-PALUD;01;AIN;200069193;CC de la Dombes
01093;CHATILLON-SUR-CHALARONNE;01;AIN;200069193;CC de la Dombes
01094;CHAVANNES-SUR-REYSSOUZE;01;AIN;200071371;CC Bresse et Saône
01095;NIVIGNE ET SURAN;01;AIN;200071751;CA du Bassin de Bourg-en-Bresse
01096;CHAVEYRIAT;01;AIN;200070555;CC de la Veyle
01097;CHAVORNAY;01;AIN;200040350;CC Bugey Sud
01098;CHAZEY-BONS;01;AIN;200040350;CC Bugey Sud
01099;CHAZEY-SUR-AIN;01;AIN;240100883;CC de la Plaine de l'Ain
