dept,siren,raison_sociale,nature_juridique,mode_financ,nb_membres,total_pop_tot,total_pop_mun,dep_com,insee,siren_membre,nom_membre,ptot_2019,pmun_2019
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01304,210103040,Pont-d'Ain,2960,2914
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01199,210101994,Jujurieux,2228,2181
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01363,210103636,Saint-Jean-le-Vieux,1800,1699
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01273,210102737,Neuville-sur-Ain,1773,1741
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01314,210103149,Priay,1746,1707
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01303,210103032,Poncin,1729,1696
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01068,210100681,Cerdon,798,785
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01430,210104303,Varambon,543,531
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01056,210100566,Boyeux-Saint-Jérôme,360,354
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01200,210102000,Labalme,214,212
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01077,210100772,Challes-la-Montagne,195,193
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01331,210103313,Saint-Alban,183,179
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01404,210104048,Serrières-sur-Ain,133,131
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449,01,01242,210102422,Mérignat,130,126
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01034,210100343,Belley,9542,9133
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01138,210101382,Culoz,3109,3053
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01036,200086411,Valromey-sur-Séran,1315,1299
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01022,210100228,Artemare,1248,1227
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01338,200060143,Groslée-Saint-Benoit,1227,1193
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01061,210100616,Brens,1196,1169
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01454,210104543,Virignin,1120,1089
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01098,200063121,Chazey-Bons,1113,1079
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01452,210104527,Virieu-le-Grand,1069,1056
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01073,210100731,Ceyzérieu,1038,1012
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01286,200059913,Parves et Nattages,960,937
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01294,210102943,Peyrieu,877,862
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01058,210100582,Brégnier-Cordon,868,849
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01079,210100798,Champagne-en-Valromey,850,825
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01453,200086403,Arvière-en-Valromey,742,716
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01187,200053676,Haut Valromey,727,695
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01015,200053668,Arboys en Bugey,656,640
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01227,200084978,Magnieu,652,640
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01239,210102398,Massignieu-de-Rives,627,613
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01116,210101168,Contrevoz,515,500
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01039,210100392,Béon,472,464
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01415,210104154,Talissieu,458,448
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01141,210101416,Cuzieu,449,436
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01372,210103727,Saint-Martin-de-Bavel,443,438
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01358,210103586,Saint-Germain-les-Paroisses,438,434
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01133,210101333,Cressin-Rochefort,404,393
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01009,210100095,Andert-et-Condon,344,336
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01268,210102687,Murs-et-Gélignieux,260,255
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01310,210103107,Prémeyzel,251,247
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01193,210101937,Izieu,244,242
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01330,210103305,Ruffieu,188,184
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01234,210102349,Marignieu,180,173
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01302,210103024,Pollieu,167,161
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01329,210103297,Rossillon,159,153
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01117,210101176,Conzieu,154,146
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01100,210101002,Cheignieu-la-Balme,142,136
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01208,210102083,Lavours,133,127
