Zone;CodeZone;I_01_03_4;I_06_01_2;I_07_01_2;I_07_01_3;I_08_08_2;I_10_00_0;I_10_00_1;I_10_00_2;I_12_08_1;I_12_01_5;I_12_05_5;I_13_01_1;I_16_02_6;I_18_03_1;I_18_04_1;I_18_04_2;I_18_05_1;I_18_05_2;I_18_05_3;I_19_01_1;I_20_01_1;I_22_04_3;I_23_02_1;I_23_02_2;I_24_01_5;I_24_01_4;I_27_01_3;I_THD;Avancement_PCAET
CC Faucigny-Glières;200000172;0.19878489040906;20.189252840625;38.7030512174148;16.8292674114483;7.59126159820314;51.2676209749731;17.4271391148185;70.0281376941604;0.755395569149478;10.9703779366701;1.9014674262641;6.07563546187229;8.01166329897213;0;0;0;NA;NA;NA;0;24;19.8147198051999;1.95244637425249;84.6505022180177;8.45665961945032;0;12.1186906252117;30.3450760427646;NA
CC du Pays de Pontchâteau Saint-Gildas-des-Bois;200000438;0.26880569274807;20.418350114844;34.5019510517294;8.16252111177298;2.10396746757572;55.6825224895702;10.0381234222507;68.1309199517716;0.565189654760592;10.9293342422177;1.11593001413128;24.237427864798;3.56590864225879;NA;0;100;0;0;0;0;30.7692307692308;12.9452942075748;4.2499117104169;86.6555642671752;5.24093754549425;4.54545454545455;9.41078594038518;39.4624566710783;NA
CC des Portes de Romilly-sur-Seine;200000545;0.376425691023222;46.5949217201919;22.5511038498759;24.805606830468;5.45562995626774;53.5337007605159;23.8568190670226;53.260756068269;1.01067015309807;12.6469540434628;0.814731262099449;9.87413579152632;10.7184269365934;NA;0;0;NA;NA;NA;13.3333333333333;45.4545454545455;1.26051596757232;9.77790104306184;73.8567619676754;6.48894176174769;9.09090909090909;12.3396329904914;28.5971462310569;NA
CC Rhône Lez Provence;200000628;0.300877401526115;44.8034143265982;28.1961376034718;22.3166276781765;5.14041262069551;53.3842306641867;15.171803751037;57.5650537036629;5.22581498218004;12.8787878787879;0.93322093980005;7.72036474164134;6.40945058940146;0;0;0;0;0;0;16.6666666666667;27.7777777777778;10.3473332531557;2.16034859269975;86.8586373809678;6.63845324039499;0;8.80722134815195;29.3348350204775;NA
CC Coeur de Sologne;200000800;0.401291449127552;30.4329818279319;33.7947058359015;14.6374852152975;2.72599963573415;48.3724248360225;22.4235479060106;66.8257589203002;1.25558938089364;10.5993340732519;0.738064510080133;15.8609794628752;11.4307351530448;0;0;0;0;0;0;0;29.4117647058824;100.014007054618;5.31143306550906;77.6701353337394;8.41593416869273;86.3636363636364;3.06292237642012;41.3701628484681;NA
CC de la Plaine Dijonnaise;200000925;0.202176210024581;13.3678733751214;41.8116301281322;10.0191686085425;1.96014876637602;50.8022188298798;15.2975757477285;69.9974095939672;0.974712245933191;13.4728340675477;0.88444970111673;8.82852292020373;4.76515057190782;NA;0;0;25;0;0;0;38;10.3708321533708;5.02951215674504;86.5147228674434;8.17030547864373;27.2727272727273;8.24141610133729;18.6917013777635;NA
CC Sauldre et Sologne;200000933;0.455253207779148;23.4204002281532;26.8930911850882;14.1770726743367;3.32124994616977;51.1615901049493;18.6374923004781;65.6289148264558;0.269851737721774;8.48196591359493;2.280697774511;10.3726869950482;15.4389296604385;0;0;0;22.2222222222222;33.3333333333333;0;11.1111111111111;9.67741935483871;44.9518546898415;0.972658668178667;77.3826809002624;8.49918549472342;90.9090909090909;1.30772321158049;50.2255584148224;NA
CC du Pays de Fayence;200004802;0.390093263029797;23.0931661018531;35.0855655790891;15.0589791821337;7.79306367346685;50.3292443951024;20.5765752043972;64.6689428642298;0.431342057873586;12.8068526062885;0.515261676212573;5.48134500230309;5.1580842521408;0;0;NA;NA;NA;NA;55.5555555555556;25;14.7611135352989;1.05179709669888;87.6801324794136;7.67375575531682;50;5.98989284845816;22.3149984695439;NA
CC des Portes de Sologne;200005932;0.311927655417749;14.4527892885034;48.5082389515246;8.75828663136809;2.26126563860032;45.1295341295855;18.0955687734768;70.6654429055984;0.973930810320897;10.7411811335711;6.26601198429207;8.39988169180716;5.13778505165279;NA;0;NA;NA;NA;NA;28.5714285714286;12.5;90.4785442803283;4.26921511281153;85.5954056064654;7.21879511746948;59.0909090909091;3.72791164338582;39.0714969155231;NA
CC de la Région de Rambervillers;200005957;0.310242203950717;49.9863562738442;27.1006265036353;17.990656040331;4.24948023985677;53.0602030744873;20.049818395068;60.1491810120885;1.31325019666636;9.83379501385042;1.18068099793154;16.1028893587033;9.1076402252242;NA;0;16.6666666666667;0;0;0;0;28.5714285714286;7.00393717706991;1.66569833374887;83.0711227191477;8.11209439528024;81.8181818181818;4.16426639565658;44.1639075630252;NA
